iter	Passed	Remaining
0	2257	2255454
1	2318	1157153
2	2323	772202
3	2324	578870
4	2325	462863
5	2327	385513
6	2328	330371
7	2383	295613
8	2385	262637
9	2388	236456
10	2390	214922
11	2391	196911
12	2392	181664
13	2393	168597
14	2395	157288
15	2396	147388
16	2401	138844
17	2402	131066
18	2403	124100
19	2404	117831
20	2405	112157
21	2406	107000
22	2408	102293
23	2409	97981
24	2410	94011
25	2414	90433
26	2415	87055
27	2417	83932
28	2419	81003
29	2420	78261
30	2421	75694
31	2422	73286
32	2423	71025
33	2424	68898
34	2431	67030
35	2433	65154
36	2434	63366
37	2437	61695
38	2438	60084
39	2439	58549
40	2445	57197
41	2447	55815
42	2448	54482
43	2448	53208
44	2449	51991
45	2450	50828
46	2451	49716
47	2452	48649
48	2453	47626
49	2456	46679
50	2459	45756
51	2460	44851
52	2461	43976
53	2462	43131
54	2462	42317
55	2463	41533
56	2464	40779
57	2465	40050
58	2467	39349
59	2468	38669
60	2472	38059
61	2474	37430
62	2475	36812
63	2476	36214
64	2477	35634
65	2478	35078
66	2479	34531
67	2480	34001
68	2481	33486
69	2482	32984
70	2483	32497
71	2487	32066
72	2489	31607
73	2489	31158
74	2490	30721
75	2491	30295
76	2492	29879
77	2493	29475
78	2494	29080
79	2495	28696
80	2496	28323
81	2497	27959
82	2498	27598
83	2500	27269
84	2501	26931
85	2502	26600
86	2504	26277
87	2505	25961
88	2506	25651
89	2507	25358
90	2509	25064
91	2510	24778
92	2511	24494
93	2512	24216
94	2517	23986
95	2519	23724
96	2520	23463
97	2521	23207
98	2522	22956
99	2523	22711
100	2524	22470
101	2525	22235
102	2526	22004
103	2527	21777
104	2532	21585
105	2534	21372
106	2535	21157
107	2535	20945
108	2536	20737
109	2537	20533
110	2538	20333
111	2539	20136
112	2540	19943
113	2541	19753
114	2542	19566
115	2548	19421
116	2549	19243
117	2550	19066
118	2551	18892
119	2552	18720
120	2553	18551
121	2554	18383
122	2555	18220
123	2556	18059
124	2557	17901
125	2558	17746
126	2561	17609
127	2563	17460
128	2564	17313
129	2565	17169
130	2566	17024
131	2567	16883
132	2568	16742
133	2569	16604
134	2570	16468
135	2571	16333
136	2571	16201
137	2573	16072
138	2576	15961
139	2578	15838
140	2579	15713
141	2579	15588
142	2580	15466
143	2581	15346
144	2582	15228
145	2583	15113
146	2584	14998
147	2585	14885
148	2586	14773
149	2587	14664
150	2590	14565
151	2591	14460
152	2593	14358
153	2594	14254
154	2595	14150
155	2596	14048
156	2597	13946
157	2598	13847
158	2599	13748
159	2600	13651
160	2600	13553
161	2601	13458
162	2602	13364
163	2608	13298
164	2610	13208
165	2611	13117
166	2611	13028
167	2612	12939
168	2613	12852
169	2614	12765
170	2615	12680
171	2616	12595
172	2617	12512
173	2618	12429
174	2622	12364
175	2624	12287
176	2625	12207
177	2626	12129
178	2627	12051
179	2628	11976
180	2630	11900
181	2631	11825
182	2632	11751
183	2633	11678
184	2638	11625
185	2640	11555
186	2641	11483
187	2642	11412
188	2643	11341
189	2644	11272
190	2645	11203
191	2646	11135
192	2647	11068
193	2647	11000
194	2649	10936
195	2652	10882
196	2654	10818
197	2655	10754
198	2656	10691
199	2657	10629
200	2659	10573
201	2661	10514
202	2662	10454
203	2663	10393
204	2666	10342
205	2669	10288
206	2670	10231
207	2671	10173
208	2672	10115
209	2673	10057
210	2674	10001
211	2675	9945
212	2676	9890
213	2677	9835
214	2678	9779
215	2681	9733
216	2682	9680
217	2684	9629
218	2685	9576
219	2686	9524
220	2687	9472
221	2688	9420
222	2689	9369
223	2690	9319
224	2691	9269
225	2692	9220
226	2693	9171
227	2694	9123
228	2696	9080
229	2698	9033
230	2699	8985
231	2700	8938
232	2701	8891
233	2701	8844
234	2703	8799
235	2704	8754
236	2705	8708
237	2705	8663
238	2706	8618
239	2710	8583
240	2713	8545
241	2714	8502
242	2715	8459
243	2716	8417
244	2717	8375
245	2718	8333
246	2719	8291
247	2720	8250
248	2724	8217
249	2727	8181
250	2728	8142
251	2729	8102
252	2730	8063
253	2731	8023
254	2732	7984
255	2733	7944
256	2812	8130
257	2813	8091
258	2814	8052
259	2815	8014
260	2817	7976
261	2818	7938
262	2819	7901
263	2826	7879
264	2827	7842
265	2828	7805
